"Unidade Gestora";"Despesas Empenhadas";"Despesas Empenhadas no Exercício";"Despesas Liquidadas";"Despesas Pagas";"Despesas do Exercício Pagas"
"Total";11428106271;11428106271;10811458350,12;10631558282,46;10278962213,12
"   010101 - ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAPÁ";243018174,66;243018174,66;243018174,66;243862302,1;243018174,66
"   020101 - TRIBUNAL DE CONTAS DO ESTADO DO AMAPÁ";130346675,93;130346675,93;126594926,24;128752506,92;123578153,49
"   030101 - TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ";578036889,53;578036889,53;571268178,1;597284882,65;570656855,8
"   030301 - FUNDO DE MANUTENÇÃO E REAPARELHAMENTO DA JUSTIÇA";16722915,52;16722915,52;14011865,09;16085671,92;13985494,69
"   030302 - FUNDO DE APOIO AOS JUIZADOS DA INFÂNCIA E DA JUVENTUDE";1869832,21;1869832,21;1638856,52;1695384,14;1638816,93
"   030303 - FUNDO DE ESTRUTURAÇÃO DO REGISTRO CIVIL";1475380,69;1475380,69;1383780,96;1383780,96;1383780,96
"   030304 - FUNDO DE SEGURANÇA DE MAGISTRADOS E SERVIDORES";162169,08;162169,08;0;0;0
"   040101 - MINISTÉRIO PÚBLICO ESTADO DO AMAPÁ";282479909,07;282479909,07;261314597,21;278427111,25;257874400,43
"   040301 - FUNDO ESPECIAL DE APOIO E DESENVOLVIMENTO DO MINISTÉRIO PÚBLICO";1083199,88;1083199,88;316381,88;814074,13;314995,88
"   040302 - FUNDO DE COMBATE A IMPROBIDADE ADMINISTRATIVA E A CORRUPÇÃO ";13,93;13,93;13,93;13,93;13,93
"   050101 - DEFENSORIA PÚBLICA DO ESTADO - DPE ";105407509,16;105407509,16;96496770,65;95045098,73;93097219,45
"   050301 - FUNDO ESPECIAL DA DEFENSORIA PÚBLICA DO ESTADO - FEDPAP";1175303,65;1175303,65;640397,56;698448,81;640397,56
"   060101 - GABINETE DO GOVERNADOR";9765693,87;9765693,87;9765693,87;10242050,35;9765693,87
"   070101 - PROCURADORIA GERAL DO ESTADO";6063176,55;6063176,55;5763216,66;5413223,59;5406064,72
"   080101 - SECRETARIA EXTRAORDINÁRIA DE REPRESENTAÇÃO DO GOVERNO DO ESTADO DO AMAPÁ EM BRASÍLI";5745816,44;5745816,44;3756130,87;2735562,24;2735562,24
"   090101 - SECRETARIA DE ESTADO DA COMUNICAÇÃO";52962112,83;52962112,83;46591671,64;46082316,54;46082316,54
"   090201 - RÁDIO DIFUSORA DE MACAPÁ";2265067,71;2265067,71;2226842,16;2111467,2;2111467,2
"   110101 - GABINETE DO VICE-GOVERNADOR";823133,46;823133,46;806070,66;806287,66;806070,66
"   130101 - SECRETARIA DE ESTADO DA ADMINISTRAÇÃO";1719853868,36;1719853868,36;1714641034,29;1465051775,28;1412464428,38
"   130103 - SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADÃO";20502763,1;20502763,1;20470873,61;18674680,09;18591474,79
"   130203 - ESCOLA DE ADMINISTRAÇÃO PÚBLICA DO AMAPÁ";7374225,12;7374225,12;7290525,1;9874822,1;7274743,1
"   130204 - AMAPÁ PREVIDÊNCIA";27560101,19;27560101,19;27265353,17;29586470,23;27175754,71
"   130205 - AMAPA PREVIDÊNCIA PLANO FINANCEIRO";883473713,63;883473713,63;883105840,31;882185754,8;881966294,4
"   130206 - AMAPÁ PREVIDÊNCIA PLANO PREVIDENCIÁRIO";46847948,95;46847948,95;46847948,95;46778413,28;46778413,28
"   140101 - SECRETARIA DE ESTADO DA FAZENDA";760779423,38;760779423,38;738584823,42;736092435,43;728137069,15
"   140201 - JUNTA COMERCIAL DO AMAPÁ";1410132,19;1410132,19;1362602,37;1360980,46;1351602,37
"   140302 - FUNDO DE DESENVOLVIMENTO E APERFEIÇOAMENTO DA ADM TRIBUTARIA DA SEFAZ";2226718,14;2226718,14;2091994,53;2154994,53;2091994,53
"   150101 - SECRETARIA DE ESTADO DO PLANEJAMENTO";9159255,63;9159255,63;8876951,98;4610700,69;4371772,69
"   150201 - CENTRO DE GESTÃO DA TECNOLOGIA DA INFORMAÇÃO";16889211,99;16889211,99;15752827,34;18521865,65;15752827,34
"   150203 - INSTITUTO DE PESOS E MEDIDAS";3566666,67;3566666,67;3278107,55;3579279,82;3278107,55
"   150205 - AGÊNCIA DE DESENVOLVIMENTO ECONÔMICO DO AMAPÁ";4712881,48;4712881,48;4704480,09;5712013,26;4673863,59
"   160101 - CONTROLADORIA-GERAL DO ESTADO DO AMAPÁ";1376938,15;1376938,15;1301417,44;1133364,95;1131308,15
"   200101 - SECRETARIA DE ESTADO DA INFRAESTRUTURA";565936798,75;565936798,75;440781845,83;440766407,72;416988047,82
"   200201 - COMPANHIA DE ÁGUA E ESGOTO DO AMAPÁ";58407314,54;58407314,54;58394314,54;57549617,48;57549617,48
"   200204 - AGÊNCIA REGULADORA DE SERVIÇOS PÚBLICOS DELEGADOS DO ESTADO";1927644,64;1927644,64;1165493,92;1187325,63;1156720,59
"   210101 - SECRETARIA DE ESTADO DO TRANSPORTE";258626880,24;258626880,24;212202910,01;225383206,93;206444332,06
"   230101 - SECRETARIA DE ESTADO DO DESENVOLVIMENTO RURAL";19622431,95;19622431,95;16451161,83;14234334,58;14031760,23
"   230204 - AGÊNCIA DE DEFESA E INSPEÇÃO AGROPECUÁRIA";3418020,32;3418020,32;3145186,85;3162647,64;3018059,09
"   230206 - INSTITUTO DE EXTENSÃO, ASSISTÊNCIA E DESENVOLVIMENTO RURAL DO AMAPÁ-RURAP";14366666,17;14366666,17;14234784,41;13888475,05;13191682,89
"   230207 - INSTITUTO DE TERRAS DO ESTADO DO AMAPÁ - AMAPÁ TERRAS";3307489,22;3307489,22;3277754,26;3271962,05;2677140,62
