codigo,descricao
0001,PAGAR ENCARGOS DA DIVIDA PÚBLICA INTERNA
0003,REALIZAR O PAGAMENTO DOS ENCARGOS COM SENTENÇAS JUDICIAIS/PRECATÓRIOS
0004,CONTRIBUIR COM RECURSOS FINANCEIROS PARA FORMAÇÃO DO PATRIMONIO DO SERVIDOR PÚBLICO / PASEP
0005,DISTRIBUIR RECURSOS FINANCEIROS DA ARRECADAÇÃO AOS MUNICÍPIOS
0006,SUBSCRIÇÃO DE AÇÕES DA AFAP
0007,SUBSCRIÇÃO DE AÇÕES DA COMPANHIA DE GÁS DO AMAPÁ
1003,"REALIZAR SERVIÇOS DE OBRAS, REFORMA, AMPLIAÇÃO E APARELHAMENTO DAS UNIDADES FÍSICAS DA DPE/AP."
1004,REALIZAR PESQUISA PARA O DESENVOLVIMENTO TECNOLÓGICO VOLTADOS AOS APLS LOCAIS
1005,REALIZAR PESQUISA PARA O DESENVOLVIMENTO CIENTÍFICO DO AMAPÁ
1006,REALIZAR DIAGNÓSTICO SOCIOECONÔMICO AMBIENTAIS
1007,REALIZAR PESQUISAS ARQUEOLÓGICAS
1008,REALIZAR O DIAGNÓSTICO DO POTENCIAL ECONÔMICO DOS MUNICÍPIOS AMAPAENSES - PDEIMA
1009,AQUISIÇÃO DA SEDE DA PROCURADORIA-GERAL DO ESTADO DO AMAPÁ
1010,IMPLEMENTAÇÃO DO PARQUE TECNOLÓGICO DA PGE/AP.
1015,IMPLANTAR O PROJETO SUPERFÁCIL DIGITAL
1016,APOIO AO SANEAMENTO RURAL NO ESTADO DO AMAPA
1018,ESTRUTURAÇÃO DA CAESA/IDEAS
1019,IMPLANTAR PROJETO DE O MODERNIZAÇÃO DA INFRAESTRUTURA FÍSICA DO PRODAP 
1020,CONSTRUÇÃO DE NÚCLEOS DE ATENDIMENTO SOCIOEDUCATIVO
1022,"MANUTENÇÃO, CONSTRUÇÃO, REFORMA E APARELHAMENTO DA JUSTIÇA"
1023,ELABORAR PROJETOS DE HUMANIZAÇÃO DO ATENDIMENTO AO CIDADÃO
1024,IMPLANTAR O PROJETO DE MODERNIZAÇÃO DA ÁREA DE SEGURANÇA DA INFORMAÇÃO DO PRODAP
1028,REALIZAR A ESTRUTURAÇÃO DO CENTRO DE DADOS DATACENTER 
1029,REFORMAR O PRÉDIO DA ALAP
1030,REALIZAR INICIATIVAS PARA A CAUSA ANIMAL
1034,CONSTRUÇÃO DE OBRA DE ARTE ESPECIAL (PONTE EM CONCRETO)
1035,REFORMA DE OBRAS DE ARTE (PONTE EM MADEIRA DE LEI)
1036,EXECUÇÃO DE DRENAGEM SUPERFICIAL EM VIAS URBANAS
1037,IMPLANTAÇÃO DE RODOVIAS ESTADUAIS
1038,CONSTRUÇÃO DE EQUIPAMENTOS PÚBLICOS (MOBILIÁRIO URBANO) EM RODOVIAS ESTADUAIS
1040,ACOMPANHAMENTO DE PROJETOS ESTRATÉGICOS DA SEPLAN
1041,CONSTRUÇÃO DE HABITAÇÕES POPULARES
1042,REAPARELHAR OS CENTROS DE ATENDIMENTO A MULHER 
1043,REFORMAR OS CENTROS DE ATENDIMENTO A MULHER 
1044,IMPLANTAR O PROJETO SEPM NAS ÁGUAS
1045,CONSTRUÇÃO DE PRÉDIOS DA ÁREA ADMINISTRATIVA ESTADUAL
1046,CONSTRUÇÃO DE RODOVIAS ESTADUAIS
1047,CONSTRUIR TERMINAIS HIDROVIÁRIOS
1048,IMPLANTAÇÃO DE SINALIZAÇÃO HORIZONTAL E VERTICAL EM RODOVIAS ESTADUAIS
1049,REALIZAR OBRAS DE MOBILIDADE URBANA
1051,AMPLIAR O PRÉDIO DA ALAP
1053,IMPLANTAR O SISTEMA QUILOMBOLA AMAPAENSE 
1059,ELABORA PROJETOS PARA A COOPERAÇÃO INTERNACIONAL
1060,"CONSTRUÇÃO, REFORMA, MANUTENÇÃO E APARELHAMENTO DE COMPLEXO PRISIONAL"
1061,REALIZAR OBRAS E AMPLIAR EDIFICAÇÕES
1062,"CONSTRUÇÃO, REFORMA, AMPLIAÇÃO E ADAPTAÇÕES NAS EDIFICAÇÕES DO MP-AP"
1063,COMBATER A IMPROBIDADE ADMINISTRATIVA E A CORRUPÇÃO
1064,REALIZAÇÃO DE CONCURSO PÚBLICO 
1065,REALIZAR CONCURSO PÚBLICO PARA O TCE
1066,REALIZARA MODERNIZAÇÃO DA GESTÃO FISCAL DO ESTADO DO AMAPÁ-PROFISCO II-AP
1067,ELABORAR PROJETOS PARA A COOPERAÇÃO INTERNACIONAL
1070,REALIZAR PESQUISA PARA O DESENVOLVIMENTO TECNOLÓGICO VOLTADOS AOS APLS LOCAIS
1071,REALIZAR PESQUISA PARA O DESENVOLVIMENTO CIENTÍFICO DO AMAPÁ
1072,REALIZAR DIAGNÓSTICO SOCIOECONÔMICO AMBIENTAIS
1073,REALIZAR PESQUISAS ARQUEOLÓGICAS
1074,EXECUTAR EMENDAS PARLAMENTARES PARA A ASSISTÊNCIA SOCIAL
1075,CONSTRUIR DE EQUIPAMENTO PÚBLICOS
1076,IMPLANTAR O PROJETO PATRIMÔNIO AMBIENTAL
1078,CONSTRUIR PRÉDIOS DA ÁREA DA SAÚDE PÚBLICA ESTADUAL.
1079,EXECUTAR OBRAS URBANAS E RURAIS DE ENERGIA ELÉTRICA - ENERGIA RENOVÁVEL E NÃO RENOVÁVEL.
1080,CONSTRUIR PRÉDIOS DA ÁREA ADMINISTRATIVA ESTADUAL.
1081,CONSTRUIR ESCOLAS DO ENSINO FUNDAMENTAL.
1082,CONSTRUIR ESCOLAS DO ENSINO MÉDIO NOS MUNICÍPIOS
1083,CONSTRUIR PRÉDIOS DA ÁREA DA SEGURANÇA PÚBLICA ESTADUAL
1084,CONSTRUIR HABITAÇÕES POPULARES
1087,APOIAR A GESTÃO MUNICIPAL COM RESÍDUOS SÓLIDOS
1088,REQUALIFICAÇÃO DE INFRAESTRUTURA VIÁRIA NO ESTADO DO AMAPÁ.
